Глубина по стволу(м),Зенитный угол(град),Азимут ,Азимут маг(град),Азимут дир(град),Глубина по вертикали(м),Отклонение от верт(м),Интенсивность искривления
10.0,0.0,185.0,10.0,0.0,185.0,0.0,0.0
20.0,0.0,185.0,20.0,0.0,185.0,0.0,0.0
30.0,0.0,185.0,30.0,0.0,185.0,0.0,0.0
40.0,0.0,185.0,40.0,0.0,185.0,0.0,0.0
50.0,0.0,185.0,50.0,0.0,185.0,0.0,0.0
60.0,0.0,185.0,60.0,0.0,185.0,0.0,0.0
70.0,0.0,185.0,70.0,0.0,185.0,0.0,0.0
80.0,0.0,185.0,80.0,0.0,185.0,0.0,0.0
90.0,0.0,185.0,90.0,0.0,185.0,0.0,0.0
100.0,0.0,185.0,100.0,0.0,185.0,0.0,0.0
110.0,0.5,185.0,110.0,0.5,185.0,0.09,0.05
120.0,1.0,185.0,120.0,1.0,185.0,0.26,0.05
125.0,1.25,185.0,125.0,1.25,185.0,0.37,0.05
130.0,1.58,185.0,130.0,1.58,185.0,0.51,0.07
140.0,2.25,185.0,140.0,2.25,185.0,0.9,0.07
150.0,2.92,185.0,150.0,2.92,185.0,1.41,0.07
160.0,3.58,185.0,160.0,3.58,185.0,2.04,0.07
170.0,4.25,185.0,170.0,4.25,185.0,2.78,0.07
180.0,4.92,185.0,180.0,4.92,185.0,3.63,0.07
181.25,5.0,185.0,181.25,5.0,185.0,3.74,0.07
190.0,5.58,185.0,190.0,5.58,185.0,4.59,0.07
200.0,6.25,185.0,200.0,6.25,185.0,5.68,0.07
210.0,6.25,185.0,210.0,6.25,185.0,6.77,0.0
220.0,6.25,185.0,220.0,6.25,185.0,7.86,0.0
230.0,6.25,185.0,230.0,6.25,185.0,8.95,0.0
240.0,6.25,185.0,240.0,6.25,185.0,10.04,0.0
250.0,6.25,185.0,250.0,6.25,185.0,11.13,0.0
260.0,6.25,185.0,260.0,6.25,185.0,12.21,0.0
270.0,6.25,185.0,270.0,6.25,185.0,13.3,0.0
280.0,6.25,185.0,280.0,6.25,185.0,14.39,0.0
290.0,6.25,185.0,290.0,6.25,185.0,15.48,0.0
300.0,6.25,185.0,300.0,6.25,185.0,16.57,0.0
310.0,6.25,185.0,310.0,6.25,185.0,17.66,0.0
320.0,6.25,185.0,320.0,6.25,185.0,18.75,0.0
330.0,6.25,185.0,330.0,6.25,185.0,19.84,0.0
340.0,6.25,185.0,340.0,6.25,185.0,20.92,0.0
350.0,6.25,185.0,350.0,6.25,185.0,22.01,0.0
